Start,Duration,End,Type
2527708,8900,2536608,MARK
2536608,4450,2541058,SPACE
2541058,600,2541658,MARK
2541658,500,2542158,SPACE
2542158,600,2542758,MARK
2542758,550,2543308,SPACE
2543308,550,2543858,MARK
2543858,1650,2545508,SPACE
2545508,600,2546108,MARK
2546108,500,2546608,SPACE
2546608,600,2547208,MARK
2547208,500,2547708,SPACE
2547708,600,2548308,MARK
2548308,550,2548858,SPACE
2548858,550,2549408,MARK
2549408,550,2549958,SPACE
2549958,550,2550508,MARK
2550508,550,2551058,SPACE
2551058,550,2551608,MARK
2551608,1650,2553258,SPACE
2553258,600,2553858,MARK
2553858,1650,2555508,SPACE
2555508,550,2556058,MARK
2556058,550,2556608,SPACE
2556608,550,2557158,MARK
2557158,1650,2558808,SPACE
2558808,600,2559408,MARK
2559408,1650,2561058,SPACE
2561058,550,2561608,MARK
2561608,1650,2563258,SPACE
2563258,600,2563858,MARK
2563858,1650,2565508,SPACE
2565508,550,2566058,MARK
2566058,1650,2567708,SPACE
2567708,600,2568308,MARK
2568308,500,2568808,SPACE
2568808,600,2569408,MARK
2569408,550,2569958,SPACE
2569958,550,2570508,MARK
2570508,550,2571058,SPACE
2571058,550,2571608,MARK
2571608,550,2572158,SPACE
2572158,550,2572708,MARK
2572708,550,2573258,SPACE
2573258,600,2573858,MARK
2573858,500,2574358,SPACE
2574358,600,2574958,MARK
2574958,1650,2576608,SPACE
2576608,550,2577158,MARK
2577158,550,2577708,SPACE
2577708,550,2578258,MARK
2578258,1650,2579908,SPACE
2579908,600,2580508,MARK
2580508,1650,2582158,SPACE
2582158,550,2582708,MARK
2582708,1650,2584358,SPACE
2584358,600,2584958,MARK
2584958,1650,2586608,SPACE
2586608,550,2587158,MARK
2587158,1650,2588808,SPACE
2588808,600,2589408,MARK
2589408,1650,2591058,SPACE
2591058,550,2591608,MARK
2591608,550,2592158,SPACE
2592158,550,2592708,MARK
2592708,1650,2594358,SPACE
2594358,600,2594958,MARK
4415116,8950,4424066,MARK
4424066,2200,4426266,SPACE
4426266,550,4426816,MARK
4523084,8950,4532034,MARK
4532034,2200,4534234,SPACE
4534234,550,4534784,MARK
4631000,8900,4639900,MARK
4639900,2250,4642150,SPACE
4642150,550,4642700,MARK
4738924,8900,4747824,MARK
4747824,2250,4750074,SPACE
4750074,550,4750624,MARK
4846836,8900,4855736,MARK
4855736,2250,4857986,SPACE
4857986,550,4858536,MARK
4955764,8900,4964664,MARK
4964664,2250,4966914,SPACE
4966914,550,4967464,MARK
5063700,8900,5072600,MARK
5072600,2200,5074800,SPACE
5074800,600,5075400,MARK
5171604,8900,5180504,MARK
5180504,2200,5182704,SPACE
5182704,600,5183304,MARK
5279528,8900,5288428,MARK
5288428,2200,5290628,SPACE
5290628,600,5291228,MARK
5387440,8900,5396340,MARK
5396340,2200,5398540,SPACE
5398540,600,5399140,MARK
5495360,8950,5504310,MARK
5504310,2200,5506510,SPACE
5506510,550,5507060,MARK
5603340,8900,5612240,MARK
5612240,2250,5614490,SPACE
5614490,550,5615040,MARK
5711244,8900,5720144,MARK
5720144,2250,5722394,SPACE
5722394,550,5722944,MARK
5819172,8900,5828072,MARK
5828072,2250,5830322,SPACE
5830322,550,5830872,MARK
5927084,8900,5935984,MARK
5935984,2250,5938234,SPACE
5938234,550,5938784,MARK
6035000,8900,6043900,MARK
6043900,2250,6046150,SPACE
6046150,550,6046700,MARK
6143928,8900,6152828,MARK
6152828,2250,6155078,SPACE
6155078,550,6155628,MARK
6251848,8900,6260748,MARK
6260748,2250,6262998,SPACE
